pp,ba,fu,pr,om
7.444129727,26.548681848,12.403087846,0.854481757,6.891025673
4.10531764,0,1.259763165,0,8.818342145
4.64035578,6.214167549,7.703933116,1.573811773,10.895063082
43.885,16.314999999999998,16.4,0,21.81
8.352151627000001,1.17082309,7.390614394,0,2.36771118
17.101053652999997,66.52329993500001,22.389153523,9.242517586,45.46654995
16.536717289,14.606661514999997,14.987918238999999,1.167542323,5.933274003999999
2.9316915900000002,20.712568085,4.6911707840000005,1.759479193,7.173358187000001
4.279999999999999,8.555,7.279999999999999,0,7.279999999999999
6.450000000000001,46.434999999999995,12.295,0,3.075
5.023304863,27.316589099000005,8.091162867,2.635046113,9.13942162
1.235788435,13.539917424999999,2.47157687,1.235788435,3.7073653
1.32380196,1.32380196,1.283697045,1.32380196,9.106194065
4.597701146,46.201612299000004,0,0,21.668703167
22.346666669999998,15.933333329,7.436666667000001,0.936666667,12.146666666
53.27,33.574999999999996,14.040000000000001,2.775,22.42
19.63093834,19.63093835,0,0,11.77856301
2.3304591,3.86720199,0,0,0
3.17,3.17,1.56,1.56,3.22
1.285,6.34,6.21,0,3.7649999999999997
2.321736883,2.284156607,8.48589191,0,0
2.5309208830000003,17.935821312999998,10.243746336000001,0.850557113,7.613513113
6.23304523,10.813197895,6.10687025,0,1.65289256
5.045,8.219999999999999,4.76,0,8.225
9.744118103,14.560055917,9.148521367,2.023267577,8.955664802
14.945,38.455,14.14,0,0
16.307377498999998,17.676629346,7.870997773,1.88005264,3.869141726
42.51853974,106.940895354,54.827970416,7.545744687,33.918621846
14.231848133,110.354272344,27.16275497,6.859872686,69.24860500999999
4.1300073,16.520029201,9.572006195,0,5.441998905
13.957039532000001,37.587282122,8.184924529,3.81338766,16.691680209999998
28.380000003000003,67.92500000000001,24.330000000000002,0,19.26
2.13401622,51.263182386000004,8.750615126,1.281558373,12.166189743
5.731731165999999,5.207281986,7.781594613,1.46810541,10.407768873
8.787426673999999,8.645149933999999,3.08948158,0.821018063,1.535405833
3.676470584,13.384345021,8.520325846,3.055721564,14.094907097
22.09,12.82,10.013333333,0,16.169999999
3.378062947,11.726477653,8.45315523,0,27.9305753
5.055,12.83,3.79,0,2.525
5.938676435,8.15606021,5.938676435,0,1.93199382
0.824266403,0.824266403,0.824266403,0.82487833,2.467734903
27.3040716,44.431675277,30.981702044000002,3.106554834,25.697103760000005
4.21674393,18.990888477,14.345968240000001,2.853417413,6.89551375
3.64,1.215,2.43,0,2.025
23.174102286,23.359577635999997,32.008396092999995,2.361133043,17.571677292
